author_list,Published,title,Journal,volume,issue,page,doi,id
"Raman, Sumesh K., Raja, Robert, Arnold, Polly L., Davidson, Matthew G., Williams, Charlotte K.",2019,"Waste not, want not: CO2 (re)cycling into block polymers",Chemical Communications,55,51,7315-7318,10.1039/c9cc02459j,16
"Thevenon, Arnaud, Cyriac, Anish, Myers, Dominic, White, Andrew J. P., Durr, Christopher B., Williams, Charlotte K.",2018,Indium Catalysts for Low-Pressure CO2/Epoxide Ring-Opening Copolymerization: Evidence for a Mononuclear Mechanism?,Journal of the American Chemical Society,140,22,6893-6903,10.1021/jacs.8b01920,49
"Stößer, Tim, Williams, Charlotte K.",2018,Selective Polymerization Catalysis from Monomer Mixtures: Using a Commercial Cr-Salen Catalyst To Access ABA Block Polyesters,Angewandte Chemie International Edition,57,21,6337-6341,10.1002/anie.201801400,51
"Romain, Charles, Garden, Jennifer A., Trott, Gemma, Buchard, Antoine, White, Andrew J. P., Williams, Charlotte K.",2017,Di-Zinc-Aryl Complexes: CO2Insertions and Applications in Polymerisation Catalysis,Chemistry - A European Journal,23,30,7367-7376,10.1002/chem.201701013,197
"Saini, Prabhjot K., Fiorani, Giulia, Mathers, Robert T., Williams, Charlotte K.",2017,"Zinc versus Magnesium: Orthogonal Catalyst Reactivity in Selective Polymerizations of Epoxides, Bio-derived Anhydrides and Carbon Dioxide",Chemistry - A European Journal,23,18,4260-4265,10.1002/chem.201605690,198
"Zhu, Yunqing, Romain, Charles, Williams, Charlotte K.",2016,Sustainable polymers from renewable resources,Nature,540,7633,354-362,10.1038/nature21001,199
"Romain, Charles, Zhu, Yunqing, Dingwall, Paul, Paul, Shyeni, Rzepa, Henry S., Buchard, Antoine, Williams, Charlotte K.",2016,"Chemoselective Polymerizations from Mixtures of Epoxide, Lactone, Anhydride, and Carbon Dioxide",Journal of the American Chemical Society,138,12,4120-4131,10.1021/jacs.5b13070,200
"Thevenon, Arnaud, Romain, Charles, Bennington, Michael S., White, Andrew J. P., Davidson, Hannah J., Brooker, Sally, Williams, Charlotte K.",2016,Dizinc Lactide Polymerization Catalysts: Hyperactivity by Control of Ligand Conformation and Metallic Cooperativity,Angewandte Chemie International Edition,55,30,8680-8685,10.1002/anie.201602930,201
"Garden, Jennifer A., Saini, Prabhjot K., Williams, Charlotte K.",2015,Greater than the Sum of Its Parts: A Heterodinuclear Polymerization Catalyst,Journal of the American Chemical Society,137,48,15078-15081,10.1021/jacs.5b09913,211
"Brown, Neil J., García-Trenco, Andrés, Weiner, Jonathan, White, Edward R., Allinson, Matthew, Chen, Yuxin, Wells, Peter P., Gibson, Emma K., Hellgardt, Klaus, Shaffer, Milo S. P., Williams, Charlotte K.",2015,From Organometallic Zinc and Copper Complexes to Highly Active Colloidal Catalysts for the Conversion of CO2 to Methanol,ACS Catalysis,5,5,2895-2902,10.1021/cs502038y,212
"Romain, Charles, Bennington, Michael S., White, Andrew J. P., Williams, Charlotte K., Brooker, Sally",2015,Macrocyclic Dizinc(II) Alkyl and Alkoxide Complexes: Reversible CO2 Uptake and Polymerization Catalysis Testing,Inorganic Chemistry,54,24,11842-11851,10.1021/acs.inorgchem.5b02038,213
"Paul, Shyeni, Romain, Charles, Shaw, John, Williams, Charlotte K.",2015,Sequence Selective Polymerization Catalysis: A New Route to ABA Block Copoly(ester-b-carbonate-b-ester),Macromolecules,48,17,6047-6056,10.1021/acs.macromol.5b01293,214
"Thevenon, Arnaud, Garden, Jennifer A., White, Andrew J. P., Williams, Charlotte K.",2015,Dinuclear Zinc Salen Catalysts for the Ring Opening Copolymerization of Epoxides and Carbon Dioxide or Anhydrides,Inorganic Chemistry,54,24,11906-11915,10.1021/acs.inorgchem.5b02233,215
"Zhu, Yunqing, Romain, Charles, Poirier, Valentin, Williams, Charlotte K.",2015,Influences of a Dizinc Catalyst and Bifunctional Chain Transfer Agents on the Polymer Architecture in the Ring-Opening Polymerization of ε-Caprolactone,Macromolecules,48,8,2407-2416,10.1021/acs.macromol.5b00225,216
"Kerr, Ryan W. F., Ewing, Paul M. D. A., Raman, Sumesh K., Smith, Andrew D., Williams, Charlotte K., Arnold, Polly L.",2021,Ultrarapid Cerium(III)–NHC Catalysts for High Molar Mass Cyclic Polylactide,ACS Catalysis,11,3,1563-1569,10.1021/acscatal.0c04858,670
"Carrodeguas, Leticia Peña, Chen, Thomas T. D., Gregory, Georgina L., Sulley, Gregory S., Williams, Charlotte K.",2020,"High elasticity, chemically recyclable, thermoplastics from bio-based monomers: carbon dioxide, limonene oxide and ε-decalactone",Green Chemistry,22,23,8298-8307,10.1039/d0gc02295k,688
"Stößer, T., Chen, T. T. D., Zhu, Y., Williams, C. K.",2017,‘Switch’ catalysis: from monomer mixtures to sequence-controlled block copolymers,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",376,2110,20170066,10.1098/rsta.2017.0066,54
"Trott, G., Saini, P. K., Williams, C. K.",2016,Catalysts for CO2/epoxide ring-opening copolymerization,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",374,2061,20150085,10.1098/rsta.2015.0085,203
